,count,mean,std,min,25%,50%,75%,max
age,303.0,54.366336633663366,9.082100989837858,29.0,47.5,55.0,61.0,77.0
sex,303.0,0.6831683168316832,0.4660108233396251,0.0,0.0,1.0,1.0,1.0
cp,303.0,0.966996699669967,1.0320524894832992,0.0,0.0,1.0,2.0,3.0
trestbps,303.0,131.62376237623764,17.53814281351709,94.0,120.0,130.0,140.0,200.0
chol,303.0,246.26402640264027,51.830750987930045,126.0,211.0,240.0,274.5,564.0
fbs,303.0,0.1485148514851485,0.35619787492797594,0.0,0.0,0.0,0.0,1.0
restecg,303.0,0.528052805280528,0.525859596359298,0.0,0.0,1.0,1.0,2.0
thalach,303.0,149.64686468646866,22.905161114914087,71.0,133.5,153.0,166.0,202.0
exang,303.0,0.32673267326732675,0.46979446452231716,0.0,0.0,0.0,1.0,1.0
oldpeak,303.0,1.0396039603960396,1.1610750220686343,0.0,0.0,0.8,1.6,6.2
slope,303.0,1.3993399339933994,0.6162261453459631,0.0,1.0,1.0,2.0,2.0
ca,303.0,0.7293729372937293,1.0226063649693276,0.0,0.0,0.0,1.0,4.0
thal,303.0,2.3135313531353137,0.6122765072781412,0.0,2.0,2.0,3.0,3.0
target,303.0,0.5445544554455446,0.4988347841643926,0.0,0.0,1.0,1.0,1.0
